year,winner
1956,Real Madrid
1957,Real Madrid
1958,Real Madrid
1959,Real Madrid
1960,Real Madrid
1961,Benfica
1962,Benfica
1963,Milan
1964,Internazionale
1965,Internazionale
1966,Real Madrid
1967,Celtic
1968,Manchester United
1969,Milan
1970,Feyenoord
1971,Ajax
1972,Ajax
1973,Ajax
1974,Bayern Munich
1975,Bayern Munich
1976,Bayern Munich
1977,Liverpool
1978,Liverpool
1979,Nottingham Forest
1980,Nottingham Forest
1981,Liverpool
1982,Aston Villa
1983,Hamburg
1984,Liverpool
1985,Juventus
1986,Steaua Bucharest
1987,Porto
1988,PSV Eindhoven
1989,Milan
1990,Milan
1991,Red Star Belgrade
1992,Barcelona
1993,Marseille
1994,Milan
1995,Ajax
1996,Juventus
1997,Borussia Dortmund
1998,Real Madrid
1999,Manchester United
2000,Real Madrid
2001,Bayern Munich
2002,Real Madrid
2003,Milan
2004,Porto
2005,Liverpool
2006,Barcelona
2007,Milan
2008,Manchester United
2009,Barcelona
2010,Internazionale
2011,Barcelona
2012,Chelsea
2013,Bayern Munich
2014,Real Madrid
2015,Barcelona
2016,Real Madrid
2017,Real Madrid
2018,Real Madrid
2019,Liverpool
2020,Bayern Munich
2021,Chelsea
2022,Real Madrid
2023,Manchester City
2024,Real Madrid
